episode,rewards_total
111,-12.4707200328
112,12.7244883128
113,8.32960929986
114,4.57945711003
115,-0.969292873486
116,8.0821545915
117,19.5167093051
118,15.956262506
119,12.9709916565
120,7.93088685412
121,8.66086473054
122,8.6456870762
123,8.52995678138
124,10.4737931786
125,15.8781456455
126,10.4737832273
127,9.48774524219
128,8.28652264575
129,-7.61568238782
130,10.4572594736
131,9.90984692623
132,19.1470528604
133,22.0489719512
134,15.7851157734
135,20.6088015414
136,15.0016512323
137,16.376009915
138,13.8946959404
139,0.772265095751
140,1.12539207605
141,-36.109924733
142,-6.9926848154
143,9.54448560227
144,-4.15945837564
145,-10.5108619316
146,20.121479658
147,0.999715062203
148,14.3839129227
149,1.19467947747
150,17.141701382
151,13.1097036086
152,13.310255756
153,9.00153885777
154,-10.5051530288
155,-27.5754941846
156,-21.1303970602
157,-11.4265556236
158,0.784382139377
159,-3.88034305437
160,-3.38336935602
161,-3.19869485333
162,-2.87187683227
163,1.46450867347
164,17.2299189178
165,20.5124479735
166,20.7461557158
167,20.6647895227
168,20.6631424052
169,20.5140272462
170,20.5126392217
171,20.6402556854
172,20.7773794873
173,20.7153425882
174,20.8407077849
175,20.7527582417
176,20.5946475914
177,20.7145530361
178,20.6161672595
179,20.7541196327
180,20.6971656092
181,20.681476693
182,20.6703257266
183,20.567925263
184,20.55057934
185,19.9710815645
186,22.8249046735
187,20.3612074572
188,20.1502801523
189,23.0462379957
190,22.6297760206
191,20.6356843947
192,20.4548719535
193,20.4256457046
194,20.8187375931
195,20.7390630034
196,20.6666692615
197,20.7777929262
198,20.7476039229
199,20.7596895213
200,20.7155107991
201,20.6531628523
202,20.8509364647
203,20.6254708587
204,20.5142300075
205,20.6582400719
206,20.8176033113
207,20.5789620011
208,20.5501273485
209,20.6504291147
210,20.5927123739
211,20.7519986851
212,20.6063588351
213,20.7105066718
214,20.7502685823
215,20.5237584766
216,20.7871949865
217,20.8241679735
218,20.8265649943
219,20.6836427041
220,20.5966988594
221,20.7702625703
222,20.6171729552
223,20.5919157845
224,20.8126018435
225,20.7130158605
226,20.6791723941
227,20.6126691255
228,20.8346482463
229,20.8024733534
230,21.0423854889
231,21.167814
232,21.2461353401
233,21.1394912143
234,21.2835774218
235,21.1704224589
236,21.4409464978
237,21.542684338
238,21.7401184943
239,22.0078807499
240,22.8998370444
241,22.1184607015
242,21.8514258597
243,23.1102027725
244,24.7275828507
245,25.3624467625
246,22.4828759014
247,22.0301495023
248,22.3253069275
249,22.0133271053
250,22.4892144872
251,22.3747903514
252,24.9171470324
253,24.8094673205
254,22.4856390154
255,23.111662902
256,26.9068256544
257,26.0713496233
258,23.4540714981
259,24.5503082848
260,18.3271370912
261,21.8930710828
262,19.9397800555
263,21.733170626
264,20.6064319524
265,19.3047341966
266,21.2575860952
267,20.7496787927
268,20.1749715556
269,20.6114196909
270,21.5772579885
271,22.8314273893
272,19.2839733217
273,21.7021626666
274,18.1016475754
275,20.8292193064
276,19.9340549521
277,19.3417166825
278,5.45685054008
279,9.54188235264
280,16.2430954212
281,21.6071477852
282,17.009892044
283,17.2752375065
284,18.6525830191
285,21.5127610318
286,23.8101072243
287,19.7388767558
288,17.8346117135
289,4.74760813773
290,19.3566094358
291,16.6164111205
292,10.1450881698
293,10.9601314021
294,11.9291275345
295,4.53110641966
296,17.2992117943
297,16.3384784692
298,20.1581733741
299,7.3535966305
300,17.0956486363
301,16.716291174
302,11.2305370735
303,17.5380831736
304,26.0610419019
305,17.8916872616
306,13.1830552843
307,10.8072645008
308,15.0166024669
309,16.2123420623
310,10.3388528983
311,14.4379576318
312,16.7803062083
313,13.806047163
314,17.9845195848
315,21.5944844479
316,20.9825960885
317,28.3414632791
318,29.0806324635
319,20.0357338923
320,18.7538339414
321,23.2523721215
322,19.1252620523
323,16.3587078434
324,19.2433993984
325,18.2104540632
326,13.6855101855
327,17.8427297824
328,18.5942981851
329,23.7759992639
330,17.5657066452
331,20.4831937098
332,20.3309870092
333,20.9757901595
334,19.886076848
335,18.2549297912
336,11.244844576
337,19.9999517033
338,3.49091285641
339,20.7132445967
340,21.3648224612
341,21.032712091
342,20.8880442705
343,18.6052610195
344,18.4047209523
345,19.6196308096
346,20.3667062479
347,19.2910122574
348,26.5653389042
349,10.9846498952
350,15.034025174
351,22.6074729865
352,16.3302086569
353,14.1894975817
354,17.7247813186
355,16.6959282679
356,15.0259854133
357,9.2181516213
358,18.9980356774
359,20.9661646985
360,16.7904087613
361,17.2158180746
362,19.4130668268
363,17.0265492127
364,16.359673046
365,16.4630129155
366,8.7877787653
367,17.997637232
368,18.3289523111
369,20.819698503
370,19.3355546986
371,-3.32411184711
372,-13.4863230817
373,-39.0508033282
374,15.1600396565
375,6.12204068777
376,9.73532786299
377,-13.0114575849
378,4.74160468882
379,-38.6831919739
380,-29.5549271181
381,-37.2171373746
382,4.81271824301
383,-5.32693785709
384,-182.214198353
385,-6.56715843515
386,-4.15113701922
387,19.0219344211
388,-13.9222520721
389,-10.4352078054
390,-14.2143595082
391,23.6904107981
392,-8.06789574969
393,-13.4727599522
394,13.6454586174
395,-3.95928048803
396,12.5651668304
397,4.64072210822
398,4.80139580289
399,-1.50055688298
400,-11.3238586111
401,16.5618840559
402,-20.2298517491
403,4.51835422167
404,6.10353820544
405,-4.63942627196
406,-3.40457108897
407,-2.2947104023
408,-1.36258512195
409,-0.823119935291
410,-1.21873869688
411,6.18693660391
412,5.52595611613
413,24.931891985
414,-32.8387812665
415,23.3441750328
416,1.39636059077
417,1.67470791118
418,10.9742536206
419,22.9076495141
420,20.9879877979
421,20.1634509728
422,20.701086859
423,20.813960713
424,20.5632976972
425,20.6524878229
426,20.6490066001
427,20.6632607563
428,20.6587353275
429,20.7282732162
430,20.7100179436
431,20.690998578
432,20.7542428348
433,20.7138375022
434,20.8252040693
435,20.5424545166
436,20.7408090135
437,20.9277862613
438,20.7088543884
439,20.8444022441
440,20.7447418168
441,20.7262930954
442,20.6337925231
443,20.7671853312
444,20.8005474221
445,20.4850954903
446,20.6464125701
447,20.5752652265
448,20.7941800315
449,20.6255443569
450,20.6745333282
451,20.8478896116
452,20.6501495541
453,20.754883948
454,20.5908352155
455,20.542570277
456,20.7609479315
457,20.6712571714
458,20.5952655817
459,20.7575691746
460,20.5153166387
461,22.3562636454
462,22.876941447
463,19.7792698607
464,20.6621700539
465,22.9344608355
466,22.8362782217
467,22.8040258914
468,22.842479094
469,21.1774369065
470,22.7078898941
471,24.64301349
472,22.7085841353
473,20.6520977482
474,22.9572371436
475,23.447964135
476,22.730075177
477,20.4539876862
478,22.8027675744
479,16.8856859619
480,16.7525688661
481,22.8116647134
482,20.6440341281
483,24.3774681854
484,24.179835993
485,15.4895515257
486,15.6839245896
487,22.8429975281
488,23.8056145892
489,23.8068664786
490,23.8066832665
491,23.8065871294
492,23.8056196596
493,23.8066645577
494,23.8056248281
495,23.8056206568
496,23.8063180907
497,23.8063018657
498,23.8055849497
499,23.8056228807
500,23.8056390992
501,23.8056473691
502,23.8056459698
503,23.8056709681
504,23.8056303392
505,23.8056058728
506,23.8056522695
507,23.8056319658
508,23.8056494117
509,23.8056159035
510,23.8056421499
511,23.8056549791
512,23.8056306279
513,23.8056380455
514,23.8056493813
515,23.805665555
516,23.8056205711
517,23.8056561103
518,23.8056644199
519,23.8056351141
520,23.8056402916
521,23.8056480633
522,23.8056478223
523,23.8056448545
524,23.8056499798
525,23.8056506267
526,23.8055973325
527,23.8056234714
528,23.8056510797
529,23.8056345719
530,23.8056083206
531,23.8055417858
532,23.8056433957
533,23.8056429492
534,23.8056359948
535,23.8056278793
536,23.8056544243
537,23.8056573344
538,23.8056480991
539,23.8056522769
540,23.8056295171
541,23.8056412979
542,23.8056298842
543,23.8056582938
544,23.805643349
545,23.8056391164
546,23.8056350417
547,23.8056491913
548,23.8056299348
549,23.8056383619
550,23.805637529
551,23.8055915708
552,23.8056403606
553,23.8056187864
554,23.805645805
555,23.805652549
556,23.805643694
557,23.8056459371
558,23.8056217458
559,23.8056522412
560,23.8056109139
561,23.8056060379
562,23.8056498539
563,23.8056497461
564,23.8056462356
565,23.8056358045
566,23.805653055
567,23.8056368879
568,23.8056485635
569,23.8056436649
570,23.8056509
571,23.8056499886
572,23.805655564
573,23.8056293508
574,23.8056458357
575,23.8056333933
576,23.8056348841
577,23.8055706222
578,23.8056196379
579,23.8056594463
580,23.8056365589
581,23.8056469926
582,23.8056419517
583,23.8056506196
584,23.8056431716
585,23.8056176096
586,23.8056416835
587,23.805631199
